S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_571.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_571.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_571.jpg,0,0,0,7.78113E-05
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_638.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_638.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_638.jpg,0,0,0,2.256719E-05
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_709.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_709.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_709.jpg,0,0,0,0.0001119078
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_781.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_781.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_781.jpg,0,0,0,0.0001350948
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_850.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_850.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_850.jpg,0,0,0,0.0001744186
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_924.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_924.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_924.jpg,0,0,0,0.0002650667
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_32_992.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_32_992.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_32_992.jpg,0,0,0,2.964652E-05
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_33_063.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_33_063.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_33_063.jpg,0,0,0,3.315468E-05
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_33_129.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_33_129.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_33_129.jpg,0,0,0,4.951222E-05
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_33_201.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_33_201.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_33_201.jpg,0,0,0,4.239181E-06
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_33_272.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_33_272.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_33_272.jpg,0,0,0,3.71854E-06
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_33_345.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_33_345.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_33_345.jpg,0,0,0,0.0001002314
S:\FRAMESRUTA2\IMG\center_2022_03_23_11_39_33_419.jpg,S:\FRAMESRUTA2\IMG\left_2022_03_23_11_39_33_419.jpg,S:\FRAMESRUTA2\IMG\right_2022_03_23_11_39_33_419.jpg,0,0,0,0.000115534
